measured_at,run_id,backend,page,trait,cer,problem,structure,backend_status,prompt_sha,render_version,endpoint,served_by,prompt_tokens,completion_tokens,reasoning_tokens,cost
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,03,bulleted-list,0.005102,,list:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,04,numbered-list,0.012821,,list:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,05,table,0.030675,,table:ok,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,06,formula,0.208333,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,07,mixed-language,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,08,diagram,0.229167,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,09,nearly-empty,0.000000,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,10,dense,0.015458,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,11,numbers,0.043478,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,12,special-chars,0.030812,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,13,corrections,0.146018,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-25T10:53:08.275Z,32839194965,openrouter/openai/gpt-4o,14,margin-note,0.046154,,,pass,635b0b92a4432be2,30,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,01,clean-prose,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/anthropic/claude-sonnet-5,02,rushed-prose,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
